experiencia,tipoDeCultivador,educacionAlRespecto,plantasEnRotacionNro,tipoDeSimulacion,numeroDePlantas,user_id,cultivador_rating,lat,lon,DLITotal,DLIGerminacionClonacion,DLIPlantin,DLIVegetativo,DLIPreFloracion,DLIFloracion,haceGerminacion_True,geneticaPheno_Hybrid,geneticaPheno_Indica,geneticaPheno_Sativa,geneticaPhoto_Auto,geneticaPhoto_Hybrid,geneticaPhoto_Photoperiod,geneticaSlug_amnesia-lemon-haze,geneticaSlug_berry-white,geneticaSlug_blue-gelato,geneticaSlug_buddha-og-kush,geneticaSlug_citrix,geneticaSlug_critical,geneticaSlug_gelato-mimosa,geneticaSlug_gorilla-blue,geneticaSlug_moby-dick,geneticaSlug_orange-kush,geneticaSlug_punto-rojo-tierra-adentro,geneticaSlug_purple-1,geneticaSlug_quasar,geneticaSlug_super-lemon-haze,geneticaSlug_white-widow,ambienteDeCultivo_Indoor,medioDeCultivo_Hidroponia,medioDeCultivo_LivingSoil,medioDeCultivo_Sustrato,metodoDeCultivo_DWC,"metodoDeCultivo_SOG, GreenHouses","metodoDeCultivo_SOG, SOG","metodoDeCultivo_SOG, SOG, ScrOG, ScrOG","metodoDeCultivo_SOG, ScrOG, ScrOG",metodoDeCultivo_ScrOG,"metodoDeCultivo_ScrOG, SOG, SOG","metodoDeCultivo_ScrOG, SOG, ToppingAndFimming","metodoDeCultivo_ScrOG, SOG, ToppingAndFimming, ToppingAndFimming","metodoDeCultivo_ScrOG, ScrOG","metodoDeCultivo_ScrOG, ScrOG, SOG, SOG","metodoDeCultivo_SuperCropping, SuperCropping",dias_germinacion_clonacion,dias_plantin,dias_vegetativo,dias_prefloracion,dias_floracion,total_dias_cultivo,yield_Baja,yield_Media,yield_Alta,yield_Muy_Alta
0.0,1.0,0.0,9.0,1.0,9.0,0.0,0.112,-33.6745795,-65.4617562,4700.0,120.0,336.0,1780.0,426.0,2038.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,56.0,14.0,56.0,157.0,0,1,0,0
0.0,1.0,0.0,9.0,1.0,4.0,0.0,0.112,-33.6745795,-65.4617562,4700.0,120.0,336.0,1780.0,426.0,2038.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,21.0,56.0,14.0,56.0,157.0,0,0,1,0
0.0,1.0,0.0,9.0,1.0,4.0,0.0,0.112,-33.6745795,-65.4617562,4033.0,96.0,272.0,1420.0,377.0,1868.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1,0
0.0,1.0,0.0,9.0,1.0,4.0,0.0,0.112,-33.6745795,-65.4617562,4033.0,96.0,272.0,1420.0,377.0,1868.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1,0
0.0,1.0,0.0,9.0,1.0,4.0,0.0,0.112,-33.6745795,-65.4617562,4266.0,96.0,272.0,1500.0,450.0,1948.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,17.0,42.0,10.0,49.0,126.0,0,0,1,0
2.0,1.0,1.0,4.0,1.0,3.0,1.0,0.3386666666666666,-33.67722,-65.4825192,3078.0,60.0,16.0,995.0,225.0,1782.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,28.0,5.0,45.0,84.0,1,0,0,0
2.0,1.0,1.0,4.0,1.0,3.0,1.0,0.3386666666666666,-33.67722,-65.4825192,2918.5,60.0,16.0,945.0,187.5,1710.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,28.0,5.0,45.0,84.0,1,0,0,0
2.0,1.0,1.0,4.0,1.0,3.0,1.0,0.3386666666666666,-33.67722,-65.4825192,3078.0,60.0,16.0,995.0,225.0,1782.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,28.0,5.0,45.0,84.0,1,0,0,0
2.0,1.0,1.0,4.0,1.0,4.0,1.0,0.3386666666666666,-33.6745795,-65.4617562,3455.0,60.0,64.0,935.0,212.0,2184.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,29.0,7.0,60.0,105.0,1,0,0,0
2.0,1.0,1.0,4.0,1.0,4.0,1.0,0.3386666666666666,-33.6745795,-65.4617562,3455.0,60.0,64.0,935.0,212.0,2184.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,29.0,7.0,60.0,105.0,1,0,0,0
